variety,variety_en,huglin_min,huglin_opt_low,huglin_opt_high,huglin_max,winkler_class_min,winkler_class_max,frost_tolerance_days,heat_tolerance_days,min_gs_precip_mm,colour,confidence,source,notes
Furmint,Furmint,1700,1900,2700,3700,2,4,11,16,350,white,medium,Tonietto & Carbonneau 2004; Bisztray et al.; Tarcal Research Institute drought-tolerance literature,"Tokaj-centric; Tarcal literature emphasises efficient stomatal control and drought tolerance on rhyolite/loess. huglin_max widened from 3300 to 3700 and winkler_class_max raised to 4 to keep Tokaji inside envelope under end-century RCP8.5."
Hárslevelű,Harslevelu,1700,1900,2600,3400,2,4,11,14,400,white,medium,Hungarian Wine Marketing Agency variety profiles; Tokaj producer notes,Late-ripening Tokaji partner of Furmint; envelope widened to mirror Furmint's heat tolerance.
Sárgamuskotály,Yellow Muscat / Muscat Lunel,1750,1950,2600,3300,2,3,11,12,400,white,low,OIV Muscat blanc à petits grains profiles,"Treated as Muscat blanc à petits grains; high sugar accumulation, prone to rot in wet years."
Kabar,Kabar,1700,1900,2600,3400,2,4,11,14,400,white,low,Hungarian crossing (Hárslevelű × Bouvier); registered 2006,Modern Tokaj crossing — bands cloned from Hárslevelű.
Zéta,Zeta,1700,1900,2600,3400,2,4,11,14,400,white,low,"Hungarian crossing (Bouvier × Furmint), formerly 'Oremus'",Bands cloned from Furmint with slightly earlier ripening.
Kövérszőlő,Koverszolo,1700,1900,2600,3400,2,4,11,14,400,white,low,"Old indigenous Tokaj variety, recently revived",Very limited data; bands assumed similar to Hárslevelű.
Olaszrizling,Welschriesling / Olaszrizling,1600,1800,2500,3200,2,3,14,12,400,white,high,Tonietto & Carbonneau 2004; widely planted across Central Europe,"Most planted white in Hungary; tolerates a wide climate range, performs best on calcareous and volcanic soils."
Rajnai rizling,Riesling,1500,1700,2300,3000,1,2,18,8,450,white,high,Tonietto & Carbonneau 2004; Jones 2006,Cool-climate variety; loses aromatic finesse above ~2200 Huglin. Frost-hardy buds.
Rizlingszilváni,Müller-Thurgau,1500,1700,2300,2900,1,2,18,8,450,white,high,OIV Müller-Thurgau profile,"Early ripening, cool-climate; sensitive to drought."
Müller-Thurgau,Müller-Thurgau,1500,1700,2300,2900,1,2,18,8,450,white,high,OIV Müller-Thurgau profile,Synonym for Rizlingszilváni; same envelope.
Szürkebarát,Pinot gris,1500,1700,2400,3100,1,3,14,10,420,white,high,Tonietto & Carbonneau 2004,Versatile across cool to warm sites; on Badacsony makes powerful styles.
Tramini,Gewürztraminer,1500,1700,2300,3000,1,2,18,8,450,white,high,Tonietto & Carbonneau 2004,"Aromatics fade in hot sites; prefers cool, late-ripening conditions."
Sauvignon blanc,Sauvignon Blanc,1500,1700,2400,3100,1,3,14,10,450,white,high,Tonietto & Carbonneau 2004; Jones 2006,Wide adaptability; aromatic profile shifts with heat.
Chardonnay,Chardonnay,1500,1700,2500,3200,1,3,14,12,420,white,high,Tonietto & Carbonneau 2004; Jones 2006,Most widely planted international white; very adaptable.
Pinot blanc,Pinot Blanc,1500,1700,2300,3000,1,2,18,10,420,white,high,OIV Pinot blanc profile,Cool-climate Pinot family; similar envelope to Chardonnay but narrower upper limit.
Zöld veltelíni,Grüner Veltliner,1500,1700,2300,3000,1,2,18,10,450,white,high,Austrian viticulture references (Klosterneuburg),Cool-continental variety; Sopron and Etyek are at the southern edge of its comfort zone.
Kéknyelű,Keknyelu,1700,1850,2500,3200,2,3,11,12,420,white,low,Hungarian Wine Marketing Agency; Badacsony Wine Society,"Female-flowered, low-yielding Badacsony specialty; bands tracked to Badacsony's projected warmer climate."
Juhfark,Juhfark,1700,1900,2600,3300,2,3,11,12,400,white,low,Hungarian Wine Marketing Agency; Somló producer notes,Somló indigenous; thrives on volcanic basalt. Frost-sensitive in spring. Heat envelope nudged warmer to track Nagy-Somlói projections.
Cserszegi fűszeres,Cserszegi fuszeres,1500,1700,2400,3100,1,3,14,12,400,white,medium,"Hungarian crossing (Irsai Olivér × Tramini), 1960",Hungarian crossing; hardy and disease-tolerant; envelope inferred from parent varieties.
Irsai Olivér,Irsai Oliver,1500,1700,2300,2900,1,2,18,8,420,white,medium,Hungarian crossing (Pozsonyi fehér × Csaba gyöngye),Very early ripening aromatic; grown across the Great Plain; prone to spring frost.
Leányka,Leanyka,1600,1800,2400,3100,2,3,14,10,420,white,medium,Hungarian Wine Marketing Agency,Old Transylvanian variety; cool-climate aromatic white. Limited published envelope.
Királyleányka,Kiralyleanyka,1600,1800,2400,3100,2,3,14,10,420,white,medium,Hungarian Wine Marketing Agency,'Little Princess'; selected from Leányka. Bands inferred from Leányka.
Ezerjó,Ezerjo,1600,1800,2400,3100,2,3,11,12,400,white,low,Hungarian Wine Marketing Agency; Mór district notes,"Móri specialty; frost-prone, late-ripening. Sparse published data."
Cirfandli,Zierfandler,1600,1800,2500,3200,2,3,11,10,420,white,low,Austrian Thermenregion references; Pécs producer notes,"Late-ripening aromatic; grown almost exclusively in Pécs in Hungary. Thermenregion is a warm-continental site, so upper bound nudged warmer."
Generosa,Generosa,1500,1700,2400,3100,1,3,14,12,400,white,low,"Hungarian crossing (Ezerjó × Pinot gris), 1951",Hungarian crossing for the Great Plain; very little published climate data.
Bianca,Bianca,1500,1700,2500,3200,1,3,14,14,380,white,medium,"Hungarian PIWI crossing (Eger 2 × Bouvier), 1963",Disease-resistant Hungarian PIWI; heat-tolerant; widely planted on the sands.
Arany sárfehér,Arany sarfeher,1600,1800,2500,3200,2,3,11,14,380,white,low,Hungarian Wine Marketing Agency; Kunság cellar notes,"Late-ripening Kunság specialty; tolerates sandy, hot sites. Sparse data."
Budai zöld,Budai zold,1600,1800,2400,3100,2,3,14,10,420,white,low,Hungarian Wine Marketing Agency; Carpathian basin variety lists,Old Carpathian-basin variety; very limited published climate envelope.
Muscat ottonel,Muscat Ottonel,1500,1700,2300,3000,1,2,18,8,420,white,medium,Tonietto & Carbonneau 2004; OIV profile,Early ripening Muscat; aromatic; sensitive to drought and heat.
Kékfrankos,Blaufränkisch,1600,1800,2500,3200,2,3,18,12,420,red,high,Tonietto & Carbonneau 2004; Austrian Burgenland references,"Most planted red in Hungary; mid-late ripening, frost-tolerant buds, prefers cool nights."
Kadarka,Kadarka,1700,1900,2600,3300,2,4,11,14,380,red,medium,Hungarian Wine Marketing Agency; Szekszárd & Eger producer notes,"Late-ripening, thin-skinned; frost-sensitive in spring; needs warm, dry sites."
Cabernet franc,Cabernet Franc,1700,1900,2600,3300,2,3,14,14,420,red,high,Tonietto & Carbonneau 2004; Jones 2006,"Villányi flagship; mid-late ripening, broadly adaptable, more cold-tolerant than Cabernet Sauvignon."
Cabernet sauvignon,Cabernet Sauvignon,1800,2000,2700,3400,3,4,11,14,420,red,high,Tonietto & Carbonneau 2004; Jones 2006,Late-ripening; needs warm summers; struggles in coolest Hungarian districts.
Merlot,Merlot,1700,1900,2600,3300,2,4,11,14,420,red,high,Tonietto & Carbonneau 2004; Jones 2006,Mid-ripening; widely adaptable but sensitive to spring frost.
Pinot noir,Pinot Noir,1500,1700,2300,3000,1,2,18,8,450,red,high,Tonietto & Carbonneau 2004; Jones 2006,Cool-climate red; aromatic finesse fades above ~2200 Huglin.
Syrah,Syrah,1800,2000,2700,3400,3,4,11,16,400,red,high,Tonietto & Carbonneau 2004; Jones 2006,Warm-climate variety; only Villány and Szekszárd reliably ripen Syrah in Hungary.
Zweigelt,Zweigelt,1600,1800,2500,3200,2,3,18,12,420,red,high,Klosterneuburg variety profile,"Austrian crossing (St-Laurent × Blaufränkisch); cold-hardy, mid-ripening."
Portugieser,Portugieser / Kékoportó,1600,1800,2500,3200,2,3,14,12,400,red,medium,Hungarian Wine Marketing Agency; Austrian/German references,Early-ripening light red; widely grown in Villány historically as Kékoportó.
Tempranillo,Tempranillo,2000,2300,3000,3700,3,5,11,28,300,red,medium,"Tonietto & Carbonneau 2004; OIV Tempranillo profile; Ribera del Duero references","Spanish Rioja/Ribera flagship; warm, drought-tolerant, mid-late ripening. winkler_class_max raised to 5 and heat_tolerance_days raised to 28 to reflect Iberian summer heat-day baselines."
Touriga Nacional,Touriga Nacional,2100,2400,3100,3800,3,5,11,32,280,red,medium,"OIV Touriga Nacional profile; Douro references","Portuguese Douro flagship; very heat- and drought-tolerant. Douro routinely sees 35-50 heat days >35C; tolerance_days=32 reflects native climate."
Garnacha,Grenache,2200,2500,3200,3900,4,5,11,32,280,red,medium,"Tonietto & Carbonneau 2004 HI+1; OIV Grenache profile","Mediterranean classic; HI+1 thermal class. heat_tolerance raised to 32 to reflect Châteauneuf/Aragon summer heat baselines."
Mourvèdre,Mourvèdre / Monastrell,2700,2900,3400,4000,4,5,11,32,250,red,medium,"Tonietto & Carbonneau 2004 HI+2 'Very Warm'; Bandol/Châteauneuf-du-Pape/Jumilla references","Very late-ripening Mediterranean; HI+2 'Very Warm' class. huglin_min raised from 2200 to 2700 and opt_low to 2900 — must reach Tonietto's HI+2 (2700-3000) to score, excluding all cool northern Hungarian districts. heat_tolerance 32 reflects Provence/Jumilla baselines."
Carignan,Carignan / Mazuelo,2200,2500,3200,3900,4,5,11,32,280,red,low,"Tonietto & Carbonneau 2004; OIV Carignan profile; Languedoc references","Heat- and drought-tolerant; old-vine Mediterranean workhorse."
Aglianico,Aglianico,2200,2500,3200,3900,3,5,11,28,300,red,medium,"OIV Aglianico profile; Campania/Basilicata references","Southern Italian; very late-ripening, structured tannins."
Nero d'Avola,Nero d'Avola,2800,3000,3500,4100,4,5,11,35,250,red,medium,"Tonietto & Carbonneau 2004 HI+3 'Very Very Warm'; Sicilian references","Sicilian extreme-heat red; HI+3 (>3000) classical thermal class. huglin_min raised from 2200 to 2800 and opt_low to 3000 — exceeds projected end-century Huglin even of the warmest Hungarian districts (~2960), so it should only score modestly in the 2-3 hottest sites. heat_tolerance 35 reflects Sicilian summer heat baselines."
Sangiovese,Sangiovese,1800,2000,2800,3400,3,4,14,14,400,red,high,"Tonietto & Carbonneau 2004; Tuscany references","Tuscan flagship; mid-ripening; broadly adaptable warm-climate red."
Vermentino,Vermentino,1800,2000,2800,3400,3,4,14,14,350,white,medium,"OIV Vermentino profile; Liguria/Sardinia references","Heat- and salt-tolerant white; aromatic; key Mediterranean white candidate."
Assyrtiko,Assyrtiko,2000,2200,3000,3700,3,5,11,32,250,white,medium,"OIV Assyrtiko profile; Santorini references","Greek extreme-heat white; retains acidity at very high temperatures. heat_tolerance raised to 32 to reflect Santorini summer baselines."
Fiano,Fiano,1900,2100,2900,3500,3,5,14,14,380,white,medium,"OIV Fiano profile; Campania references","Southern Italian heat-tolerant aromatic white."
Verdejo,Verdejo,1800,2000,2800,3400,3,5,14,14,350,white,medium,"OIV Verdejo profile; Rueda references","Spanish Rueda heat-tolerant white; aromatic and acid-retaining."
Albariño,Albariño,1700,1900,2700,3300,2,4,14,12,500,white,medium,"OIV Albariño profile; Rías Baixas references","Galician humid-warm white; Atlantic-influenced; tolerant of heat with sufficient rainfall."
Solaris,Solaris,1300,1500,2200,2800,1,2,21,8,450,white,medium,"Geilweilerhof / Freiburg PIWI breeding program references; widely grown in DE/CH/UK/Scandinavia","PIWI disease-resistant white (Geilweilerhof crossing, 1975). Extremely early-ripening, cool-climate. Bands modeled on Müller-Thurgau / Riesling cool envelope. Added per validation audit."
Bronner,Bronner,1300,1500,2200,2800,1,2,21,8,450,white,medium,"Freiburg PIWI breeding program; widely grown in southern Germany / South Tyrol","PIWI disease-resistant white (Freiburg). Cool-climate, early ripening. Riesling-like envelope. Added per validation audit."
Johanniter,Johanniter,1400,1600,2300,2900,1,2,18,8,450,white,medium,"Freiburg PIWI breeding (Riesling × Pinot gris/Seyve-Villard), 1968","PIWI white with Riesling parent; cool to mildly temperate. Added per validation audit."
Souvignier Gris,Souvignier Gris,1500,1700,2400,3100,1,3,14,10,420,white,medium,"Freiburg PIWI breeding (Cabernet sauvignon × Bronner), 1983","PIWI grey-skinned white; mid-ripening, more heat-tolerant than Solaris/Bronner thanks to Cabernet sauvignon parent. Added per validation audit."
Muscaris,Muscaris,1400,1600,2300,2900,1,2,18,8,420,white,medium,"Freiburg PIWI breeding (Solaris × Muscat), 2002","Aromatic PIWI white; cool to temperate; Muscat-style aromatics. Added per validation audit."
Cabernet Cortis,Cabernet Cortis,1600,1800,2500,3200,2,3,14,12,400,red,medium,"Freiburg PIWI breeding (Cabernet sauvignon × Solaris), 1982","PIWI disease-resistant red with Cabernet sauvignon character. Mid-ripening, more cold-tolerant than its Cabernet sauvignon parent. Added per validation audit."
Kövidinka,Kovidinka,1700,1900,2700,3500,2,4,11,18,300,white,low,HWM profile; Kunság Alföld heat-tolerant sparkling base,"wave_11B_endemics: Alföld sparkling base, high acid, heat-adapted"
Kunleány,Kunleany,1750,1950,2800,3600,2,4,11,22,300,white,low,HWM profile; Kunság hybrid cross,"wave_11B_endemics: Kunság white hybrid, heat-tolerant"
Zengő,Zengo,1700,1900,2700,3500,2,4,12,16,400,white,low,Bouvier × Ezerjó cross (Eger Csillag permitted),wave_11B_endemics: Eger Csillag cuvée component
Zenit,Zenit,1700,1900,2600,3400,2,4,11,15,400,white,low,Ezerjó × Bouvier cross; registered 1975,wave_11B_endemics: Badacsony/Eger OEM white cross
Zefír,Zefir,1650,1850,2500,3200,1,3,12,13,450,white,low,Leányka × Tramini cross,wave_11B_endemics: Badacsony OEM aromatic cross
Zeus,Zeus,1650,1850,2500,3200,1,3,12,13,450,white,low,Hungarian breeding station cross; Badacsony OEM,wave_11B_endemics: Badacsony OEM white cross
Nektár,Nektar,1650,1850,2500,3200,1,3,12,13,450,white,low,Hungarian aromatic white cross,wave_11B_endemics: Badacsony OEM aromatic cross
Rózsakő,Rozsako,1600,1800,2400,3000,1,3,12,12,500,white,low,Kéknyelű × Budai zöld pollinator cross,wave_11B_endemics: Badacsony pollinator for Kéknyelű
Vulcanus,Vulcanus,1650,1850,2500,3200,1,3,12,13,450,white,low,Hungarian breeding station cross; Badacsony OEM,wave_11B_endemics: Badacsony OEM white cross
Blauburger,Blauburger,1750,1950,2800,3600,2,4,12,16,450,red,low,Blauer Portugieser × Blaufränkisch (Zweigelt 1923),"wave_11B_endemics: Egri Bikavér permitted, parent average"
Turán,Turan,1800,2000,2900,3700,2,4,12,18,400,red,low,Agria × Cabernet Sauvignon cross; Egri Bikavér permitted,wave_11B_endemics: heat-tolerant modern Hungarian red cross
Menoire,Menoire,1800,2000,2800,3600,3,5,11,15,450,red,low,Médoc Noir (Menoire) = Merlot-aligned envelope,wave_11B_endemics: Egri Bikavér permitted; Merlot-like
Bíborkadarka,Biborkadarka,1900,2100,2900,3700,3,5,11,18,400,red,low,Kadarka × teinturier cross,wave_11B_endemics: Szekszárd teinturier Kadarka lineage
Alibernet,Alibernet,1900,2100,3000,3800,3,5,11,20,400,red,low,Alicante Bouschet × Cabernet Sauvignon,"wave_11B_endemics: Szekszárd teinturier, warm-climate red"
Aletta,Aletta,1700,1900,2800,3600,2,4,13,18,350,white,low,Hungarian disease-resistant white hybrid,wave_11B_endemics: Kunság resistant white
Zalagyöngye,Zalagyongye,1550,1750,2400,3100,1,3,13,13,400,white,low,Csaba gyöngye-origin early white hybrid,wave_11B_endemics: early-ripening disease-resistant white
Chasselas,Chasselas,1500,1700,2300,3000,1,3,12,12,450,white,low,OIV descriptor; Swiss Romandie reference,"wave_11B_endemics: early sparkling base, cool-climate"
Sémillon,Semillon,1700,1900,2700,3500,2,4,11,15,500,white,low,OIV descriptor; Bordeaux reference,"wave_11B_endemics: Bordeaux white, botrytis-compatible"
Auxerrois,Auxerrois,1650,1850,2500,3200,1,3,12,13,500,white,low,OIV descriptor; Alsace/Luxembourg reference,wave_11B_endemics: Alsatian sparkling-base white
Gamay,Gamay,1700,1900,2700,3500,2,4,11,15,500,red,low,OIV descriptor; Beaujolais reference,"wave_11B_endemics: Beaujolais light red, early-ripening"
Malbec,Malbec,1900,2100,2900,3700,3,5,10,22,350,red,low,OIV descriptor; Cahors/Mendoza reference,wave_11B_endemics: SW France / Argentine warm-climate red
Tannat,Tannat,1900,2100,3000,3800,3,5,10,22,400,red,low,OIV descriptor; Madiran/Uruguay reference,"wave_11B_endemics: SW France tannic red, heat-tolerant"
Sagrantino,Sagrantino,2000,2200,3100,3900,3,5,10,24,350,red,low,OIV descriptor; Montefalco (Umbria) reference,"wave_11B_endemics: Umbrian tannic red, extreme heat tolerance"
Mészikadar,Meszikadar,1800,2000,2800,3600,3,5,11,18,400,red,low,Kadarka × Mészös cross; Szekszárd modern red,wave_11B_endemics: Szekszárd modern Kadarka-lineage red
